# Ritter 2018 yields
# Model: M2.00Z2.0e-02
# Set: set1.2
# Mini: 2.00
# Mfinal: 0.6203309543381046
# Created by Daniel Boyea on 2024-10-31
isotope       mass_yield     X0      
Hg-198         3.9873e-10     1.9750e-10
Hg-199         5.1304e-10     3.3599e-10
Hg-200         8.1012e-10     4.6222e-10
Hg-201         4.3469e-10     2.6511e-10
Hg-202         1.0722e-09     6.0363e-10
Hg-203         1.3314e-27     0.0000e+00
Hg-204         1.9451e-10     1.4014e-10
Tl-203         5.4269e-10     3.2207e-10
Tl-204         2.2341e-24     0.0000e+00
Tl-205         1.2092e-09     7.7639e-10
Pb-204         5.2822e-10     2.9310e-10
Pb-205         1.4608e-12     0.0000e+00
Pb-206         4.2355e-09     2.7977e-09
Pb-207         4.4739e-09     3.0897e-09
Pb-208         1.2382e-08     8.8498e-09
Bi-209         1.2036e-09     8.7182e-10
Bi-210         4.5359e-24     0.0000e+00
