# Battino yields
# Model: m3z1m3-bigpoc
# Set: set1.01
# Mini: 3.00
# Mfinal: 0.8314503384460126
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Sn-124         1.7736e-11     8.0667e-12
Sn-125         3.6027e-21     1.0000e-99
Sn-126         4.2610e-16     1.0000e-99
Sn-127         8.0167e-31     1.0000e-99
Sn-128         5.3220e-41     1.0000e-99
Sn-129         2.1686e-99     1.0000e-99
Sn-130         2.1686e-99     1.0000e-99
Sb-112         2.1686e-99     1.0000e-99
Sb-113         2.1686e-99     1.0000e-99
Sb-114         2.1686e-99     1.0000e-99
Sb-115         2.1686e-99     1.0000e-99
Sb-116         2.1686e-99     1.0000e-99
Sb-117         2.1686e-99     1.0000e-99
Sb-118         2.1686e-99     1.0000e-99
Sb-119         2.1686e-99     1.0000e-99
Sb-120         2.1686e-99     1.0000e-99
Sb-121         6.7799e-11     6.3234e-12
Sb-122         7.0619e-17     1.0000e-99
Sb-123         2.0486e-11     4.8072e-12
Sb-124         3.6275e-23     1.0000e-99
Sb-125         2.7568e-16     1.0000e-99
Sb-126         1.0805e-22     1.0000e-99
Sb-127         3.4800e-23     1.0000e-99
Sb-128         2.2255e-35     1.0000e-99
Sb-129         2.4592e-44     1.0000e-99
Sb-130         2.1686e-99     1.0000e-99
Sb-131         2.1686e-99     1.0000e-99
Sb-132         2.1686e-99     1.0000e-99
Sb-133         2.1686e-99     1.0000e-99
Te-114         2.1686e-99     1.0000e-99
Te-115         2.1686e-99     1.0000e-99
Te-116         2.1686e-99     1.0000e-99
Te-117         2.1686e-99     1.0000e-99
Te-118         2.1686e-99     1.0000e-99
Te-119         2.1686e-99     1.0000e-99
Te-120         3.4907e-13     1.6298e-13
Te-121         1.7351e-23     1.0000e-99
Te-122         9.5740e-11     4.4927e-12
Te-123         3.3473e-11     1.5800e-12
Te-124         1.8909e-10     8.4485e-12
Te-125         8.3743e-11     1.2625e-11
Te-126         3.9820e-10     3.3783e-11
Te-127         9.5179e-20     1.0000e-99
Te-128         1.5630e-10     5.7380e-11
Te-129         1.7447e-24     1.0000e-99
Te-130         1.3415e-10     6.2161e-11
Te-131         1.4414e-27     1.0000e-99
Te-132         8.9290e-26     1.0000e-99
Te-133         2.5868e-43     1.0000e-99
Te-134         2.1686e-99     1.0000e-99
I-117          2.1686e-99     1.0000e-99
I-118          2.1686e-99     1.0000e-99
I-119          2.1686e-99     1.0000e-99
I-120          2.1686e-99     1.0000e-99
I-121          2.1686e-99     1.0000e-99
I-122          2.1686e-99     1.0000e-99
I-123          2.1686e-99     1.0000e-99
I-124          2.1686e-99     1.0000e-99
I-125          4.8519e-23     1.0000e-99
I-126          8.3027e-27     1.0000e-99
I-127          7.4409e-11     1.4604e-11
I-128          1.9709e-24     1.0000e-99
I-129          5.1979e-13     1.0000e-99
I-130          4.4673e-23     1.0000e-99
I-131          3.7092e-19     1.0000e-99
I-132          2.7485e-27     1.0000e-99
I-133          7.6837e-29     1.0000e-99
I-134          1.0797e-44     1.0000e-99
I-135          7.6995e-47     1.0000e-99
Xe-118         2.1686e-99     1.0000e-99
Xe-119         2.1686e-99     1.0000e-99
Xe-120         2.1686e-99     1.0000e-99
Xe-121         2.1686e-99     1.0000e-99
Xe-122         2.1686e-99     1.0000e-99
Xe-123         2.1686e-99     1.0000e-99
Xe-124         4.7367e-13     2.2115e-13
Xe-125         2.1993e-25     1.0000e-99
Xe-126         4.1789e-13     1.9510e-13
Xe-127         2.3466e-22     1.0000e-99
Xe-128         1.1115e-10     3.9463e-12
Xe-129         1.4851e-10     4.8974e-11
Xe-130         2.3745e-10     7.8721e-12
Xe-131         1.6931e-10     3.9482e-11
Xe-132         5.5510e-10     4.8105e-11
Xe-133         2.4089e-16     1.0000e-99
Xe-134         8.0723e-11     1.7896e-11
Xe-135         2.8298e-21     1.0000e-99
Xe-136         3.2857e-11     1.4797e-11
Xe-137         6.0498e-30     1.0000e-99
Xe-138         4.3300e-40     1.0000e-99
Cs-123         2.1686e-99     1.0000e-99
Cs-124         2.1686e-99     1.0000e-99
Cs-125         2.1686e-99     1.0000e-99
Cs-126         2.1686e-99     1.0000e-99
Cs-127         2.1686e-99     1.0000e-99
Cs-128         2.1686e-99     1.0000e-99
Cs-129         2.1686e-99     1.0000e-99
Cs-130         2.1686e-99     1.0000e-99
Cs-131         1.0048e-23     1.0000e-99
Cs-132         4.6959e-28     1.0000e-99
Cs-133         9.2844e-11     1.4273e-11
Cs-134         4.8273e-15     1.0000e-99
Cs-135         4.4070e-11     1.0000e-99
Cs-136         2.4247e-16     1.0000e-99
Cs-137         1.3125e-11     1.0000e-99
Cs-138         5.2094e-27     1.0000e-99
Cs-139         3.4371e-37     1.0000e-99
Ba-124         2.1686e-99     1.0000e-99
Ba-125         2.1686e-99     1.0000e-99
Ba-126         2.1686e-99     1.0000e-99
Ba-127         2.1686e-99     1.0000e-99
Ba-128         2.1686e-99     1.0000e-99
Ba-129         2.1686e-99     1.0000e-99
Ba-130         3.8895e-13     1.8159e-13
Ba-131         1.6708e-23     1.0000e-99
Ba-132         3.7777e-13     1.7637e-13
Ba-133         1.9664e-22     1.0000e-99
Ba-134         1.5737e-10     4.2762e-12
Ba-135         7.4647e-11     1.1750e-11
Ba-136         4.9290e-10     1.4101e-11
Ba-137         4.4220e-10     2.0317e-11
Ba-138         6.3066e-09     1.3064e-10
Ba-139         6.9215e-23     1.0000e-99
Ba-140         2.9686e-21     1.0000e-99
Ba-141         2.0107e-38     1.0000e-99
Ba-142         4.3174e-52     1.0000e-99
La-127         2.1686e-99     1.0000e-99
La-128         2.1686e-99     1.0000e-99
La-129         2.1686e-99     1.0000e-99
La-130         2.1686e-99     1.0000e-99
La-131         2.1686e-99     1.0000e-99
La-132         2.1686e-99     1.0000e-99
La-133         2.1686e-99     1.0000e-99
La-134         2.1686e-99     1.0000e-99
La-135         2.1686e-99     1.0000e-99
La-136         2.1686e-99     1.0000e-99
La-137         2.0552e-21     1.0000e-99
La-138         3.4233e-14     1.6055e-14
La-139         7.6742e-10     1.7918e-11
La-140         1.9731e-17     1.0000e-99
La-141         1.7853e-25     1.0000e-99
La-142         6.7223e-33     1.0000e-99
La-143         3.6379e-42     1.0000e-99
Ce-130         2.1686e-99     1.0000e-99
Ce-131         2.1686e-99     1.0000e-99
Ce-132         2.1686e-99     1.0000e-99
Ce-133         2.1686e-99     1.0000e-99
Ce-134         2.1686e-99     1.0000e-99
Ce-135         2.1686e-99     1.0000e-99
Ce-136         1.7969e-13     8.3893e-14
Ce-137         7.5306e-27     1.0000e-99
Ce-138         2.4616e-13     1.1488e-13
Ce-139         2.2907e-20     1.0000e-99
Ce-140         2.3276e-09     4.1067e-11
Ce-141         1.3408e-15     1.0000e-99
Ce-142         8.0647e-11     5.2340e-12
Ce-143         1.1512e-18     1.0000e-99
Ce-144         1.0493e-18     1.0000e-99
Ce-145         1.0079e-37     1.0000e-99
Ce-146         5.6546e-42     1.0000e-99
Pr-133         2.1686e-99     1.0000e-99
Pr-134         2.1686e-99     1.0000e-99
