# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Kr-90          1.3185e-99     1.0000e-99
Rb-79          1.3185e-99     1.0000e-99
Rb-80          1.3185e-99     1.0000e-99
Rb-81          1.3185e-99     1.0000e-99
Rb-82          1.3185e-99     1.0000e-99
Rb-83          1.3185e-99     1.0000e-99
Rb-84          8.8565e-30     1.0000e-99
Rb-85          2.5986e-10     1.2836e-10
Rb-86          4.0678e-19     1.0000e-99
Rb-87          1.2585e-10     5.0673e-11
Rb-88          9.8173e-27     1.0000e-99
Rb-89          2.7918e-39     1.0000e-99
Rb-90          1.3185e-99     1.0000e-99
Rb-91          1.3185e-99     1.0000e-99
Sr-80          1.3185e-99     1.0000e-99
Sr-81          1.3185e-99     1.0000e-99
Sr-82          1.3185e-99     1.0000e-99
Sr-83          1.3185e-99     1.0000e-99
Sr-84          4.1348e-12     3.2309e-12
Sr-85          2.5482e-21     1.0000e-99
Sr-86          2.4009e-10     5.8498e-11
Sr-87          1.6360e-10     4.4471e-11
Sr-88          2.4933e-09     5.0153e-10
Sr-89          2.2450e-19     1.0000e-99
Sr-90          1.0615e-14     1.0000e-99
Sr-91          2.7190e-60     1.0000e-99
Sr-92          8.2088e-83     1.0000e-99
Sr-93          1.3185e-99     1.0000e-99
Sr-94          1.3185e-99     1.0000e-99
Y-85           1.3185e-99     1.0000e-99
Y-86           1.3185e-99     1.0000e-99
Y-87           1.3185e-99     1.0000e-99
Y-88           1.3185e-99     1.0000e-99
Y-89           6.4129e-10     1.2304e-10
Y-90           2.7016e-18     1.0000e-99
Y-91           1.9731e-26     1.0000e-99
Y-92           3.0257e-79     1.0000e-99
Y-93           1.3185e-99     1.0000e-99
Y-94           1.3185e-99     1.0000e-99
Y-95           1.3185e-99     1.0000e-99
Y-96           1.3185e-99     1.0000e-99
Zr-86          1.3185e-99     1.0000e-99
Zr-87          1.3185e-99     1.0000e-99
Zr-88          1.3185e-99     1.0000e-99
Zr-89          1.3185e-99     1.0000e-99
Zr-90          7.3096e-10     1.5357e-10
Zr-91          1.7841e-10     3.3871e-11
Zr-92          2.8154e-10     5.2315e-11
Zr-93          7.7204e-11     1.0000e-99
Zr-94          3.7307e-10     5.4181e-11
Zr-95          7.0124e-20     1.0000e-99
Zr-96          2.5359e-11     8.9114e-12
Zr-97          2.2737e-23     1.0000e-99
Zr-98          2.5036e-62     1.0000e-99
Nb-89          1.3185e-99     1.0000e-99
Nb-90          1.3185e-99     1.0000e-99
Nb-91          1.3185e-99     1.0000e-99
Nb-92          1.3185e-99     1.0000e-99
Nb-93          2.4767e-11     1.9018e-11
Nb-94          2.8076e-15     1.0000e-99
Nb-95          4.8869e-20     1.0000e-99
Nb-96          2.3230e-28     1.0000e-99
Nb-97          1.7385e-24     1.0000e-99
Nb-98          2.4354e-58     1.0000e-99
Nb-99          1.3185e-99     1.0000e-99
Mo-90          1.3185e-99     1.0000e-99
Mo-91          1.3185e-99     1.0000e-99
Mo-92          1.3050e-11     1.0134e-11
Mo-93          1.6416e-14     1.0000e-99
Mo-94          9.5371e-12     6.4533e-12
Mo-95          5.1221e-11     1.1229e-11
Mo-96          8.8034e-11     1.1886e-11
Mo-97          3.3039e-11     6.8815e-12
Mo-98          1.0678e-10     1.7559e-11
Mo-99          5.3033e-22     1.0000e-99
Mo-100         1.1567e-11     7.1525e-12
Mo-101         8.6658e-29     1.0000e-99
Mo-102         5.0895e-60     1.0000e-99
Tc-93          1.3185e-99     1.0000e-99
Tc-94          1.3185e-99     1.0000e-99
Tc-95          1.3185e-99     1.0000e-99
Tc-96          1.3185e-99     1.0000e-99
Tc-97          2.5760e-15     1.0000e-99
Tc-98          5.6246e-16     1.0000e-99
Tc-99          1.0846e-11     1.0000e-99
Tc-100         1.2481e-30     1.0000e-99
Tc-101         2.4701e-28     1.0000e-99
Tc-102         1.2513e-40     1.0000e-99
